10.25;0.25;6.50;1.50;5.75;0.25;4.25;1.50;8.75;6.00;5.00;3.75;1.50;8.25;9.00;0.25;3.50;2.50;2.75;2.25;16.25
0.33;47.75;3.17;2.00;2.67;2.67;1.17;5.51;0.83;0.67;4.34;2.67;4.51;0.00;2.34;9.02;1.34;3.01;0.50;5.01;0.50
6.17;4.50;28.50;6.83;3.83;4.00;3.17;2.83;3.00;5.50;2.83;2.17;4.50;7.00;0.67;5.17;1.83;0.00;3.00;2.33;2.17
2.43;7.71;7.29;5.71;3.43;3.00;2.14;5.86;5.43;6.57;7.43;4.43;4.71;3.29;1.43;11.00;5.57;1.14;3.57;6.00;1.86
8.67;0.00;2.83;0.83;44.33;0.50;3.00;0.17;5.83;1.33;0.00;0.17;0.17;4.67;11.33;0.83;0.00;7.00;2.50;2.83;3.00
1.55;1.91;5.27;1.55;1.91;49.27;2.64;1.09;1.09;3.55;0.73;5.73;1.82;1.27;0.91;6.55;0.82;0.27;9.09;2.09;0.91
2.67;3.34;4.84;2.34;4.01;1.17;22.54;6.01;4.67;3.01;2.84;7.01;2.67;5.01;5.01;7.35;4.17;3.17;2.17;3.67;2.34
0.83;12.17;3.33;4.00;1.33;0.67;4.67;17.17;3.17;4.17;7.00;0.50;6.67;1.50;1.00;13.00;6.33;3.17;0.50;7.50;1.33
6.24;1.17;4.16;2.08;4.55;1.04;5.85;1.30;31.08;4.94;1.43;2.99;0.39;9.62;2.08;1.82;5.59;1.17;5.59;1.95;4.94
5.00;1.00;10.25;4.25;0.25;4.25;3.25;1.75;15.00;15.25;0.75;2.00;4.00;4.75;0.50;2.00;7.50;0.75;10.25;1.75;5.50
1.12;4.75;0.50;2.75;0.00;0.75;2.50;3.88;2.88;0.88;48.88;2.75;2.50;0.25;1.88;4.00;4.62;1.75;0.62;9.88;2.88
5.12;5.38;4.38;3.25;0.62;13.25;4.88;0.75;4.25;2.12;8.38;17.75;1.12;4.25;6.12;0.25;1.00;2.50;8.75;0.75;5.12
1.46;8.40;6.39;4.93;1.34;8.46;2.37;9.01;1.34;4.32;4.69;2.13;12.23;1.83;0.43;14.00;3.59;2.37;2.74;6.21;1.77
7.80;2.80;7.80;4.80;3.80;2.20;4.20;1.60;11.20;6.00;2.00;7.20;1.60;18.60;4.60;3.80;3.00;1.40;1.80;2.20;1.60
6.48;2.74;2.45;0.43;6.34;0.14;4.47;1.59;2.31;1.15;2.74;8.93;0.72;4.32;33.72;1.01;0.58;11.24;0.29;0.43;7.93
1.00;8.10;3.20;5.00;2.50;1.10;4.50;10.00;1.40;0.50;3.90;1.10;6.20;1.20;1.30;38.00;3.30;1.90;0.40;5.00;0.40
3.27;2.57;4.05;4.21;3.74;1.17;4.75;7.55;7.40;7.32;7.09;2.96;3.12;2.18;3.58;7.48;10.59;3.43;3.66;7.32;2.57
1.01;3.86;1.34;1.85;5.87;0.84;2.85;0.67;1.85;2.01;5.70;3.52;2.01;1.68;10.91;2.68;1.34;43.12;0.17;2.18;4.53
2.17;1.00;5.50;2.67;3.00;18.00;0.83;0.33;7.50;7.50;0.50;4.00;1.67;1.67;0.17;1.67;2.00;0.17;32.17;1.67;5.83
1.02;6.46;2.95;5.78;2.15;1.59;3.63;7.48;1.70;3.06;16.67;2.15;4.20;0.57;0.57;11.11;5.44;2.49;1.02;19.16;0.79
11.99;1.07;2.78;1.07;5.78;4.71;1.50;1.93;13.28;5.57;3.85;7.92;0.86;2.36;7.49;0.64;3.43;5.57;1.93;0.21;16.06
