26.25;0.75;4.75;0.75;7.00;0.25;5.25;1.00;6.00;4.75;3.50;5.00;1.00;7.00;7.75;0.75;3.50;2.25;3.50;1.50;7.50
0.33;57.76;2.00;2.67;2.50;2.17;1.50;6.01;0.50;0.50;2.67;0.50;3.67;0.17;3.01;8.51;0.17;1.84;0.33;3.01;0.17
4.67;4.00;40.00;4.33;2.50;3.17;3.00;2.17;2.00;4.17;1.83;2.33;4.17;4.33;1.00;6.50;2.50;0.33;3.50;1.50;2.00
1.29;7.71;7.86;11.57;2.14;3.71;3.00;4.57;3.71;4.57;9.00;4.29;5.86;3.14;1.14;10.00;3.86;1.14;2.86;6.00;2.57
2.83;0.50;2.00;0.00;71.33;0.33;0.83;0.50;1.00;1.00;0.00;0.83;0.00;3.50;7.33;0.67;0.00;3.17;2.50;0.17;1.50
1.18;1.36;5.55;1.55;1.55;53.91;2.64;1.09;0.73;2.55;0.82;3.45;3.55;1.82;0.82;5.73;0.64;0.27;7.55;1.91;1.36
4.34;2.50;3.84;1.84;1.84;0.17;31.55;4.34;3.84;1.84;3.51;4.84;3.34;3.84;6.01;7.35;3.17;4.01;2.17;4.17;1.50
1.33;6.83;2.17;2.00;1.33;0.00;2.83;30.67;4.33;2.67;6.67;0.17;5.50;1.00;0.33;12.50;7.83;2.67;0.67;7.17;1.33
4.16;0.39;3.12;0.91;4.81;0.91;5.46;1.69;37.58;5.20;0.91;2.99;0.91;8.06;2.86;1.69;5.98;1.56;4.94;2.08;3.77
4.75;0.25;5.00;2.00;0.50;1.00;0.75;2.50;9.25;42.00;1.25;2.25;4.25;3.00;0.50;0.50;5.00;1.00;5.25;2.25;6.75
0.50;4.62;1.12;2.12;0.00;0.75;2.88;4.25;3.00;0.88;51.12;3.75;2.38;0.88;2.88;3.00;5.62;1.62;0.50;6.00;2.12
3.12;4.12;3.62;1.25;1.25;11.75;3.62;0.62;2.38;1.75;6.12;36.25;1.25;3.88;4.88;0.62;1.12;1.50;5.88;1.75;3.25
1.16;8.34;5.90;3.29;1.22;7.12;2.56;10.59;1.16;4.50;3.77;1.46;15.28;1.64;0.73;12.17;3.47;3.53;3.04;6.88;2.19
4.60;1.20;8.80;2.00;4.60;2.60;3.60;0.40;11.20;3.20;1.80;6.40;2.20;29.00;4.20;4.80;2.00;1.00;2.00;1.40;3.00
3.46;2.59;2.02;0.72;5.04;0.00;4.18;1.01;2.88;0.14;2.31;5.19;0.43;3.89;51.87;1.15;0.86;6.92;0.00;0.43;4.90
0.60;8.20;4.00;3.70;2.30;0.40;3.70;7.10;1.00;0.80;3.60;0.80;8.50;1.30;1.20;43.60;2.90;2.10;0.30;3.70;0.20
3.19;2.34;3.66;2.73;2.18;1.01;5.30;6.15;6.15;6.62;7.32;4.52;2.49;2.02;3.12;6.93;19.24;3.58;3.50;6.07;1.87
2.18;3.36;0.50;0.84;6.21;0.34;2.85;0.67;1.17;1.68;3.19;2.18;1.51;1.17;8.05;1.68;0.34;56.21;0.00;2.35;3.52
1.50;1.67;4.67;1.17;1.33;7.83;0.67;0.67;5.83;4.17;0.83;2.83;1.83;1.17;0.17;1.50;0.67;0.33;56.67;2.00;2.50
0.79;6.01;3.85;2.95;1.93;1.70;1.81;5.78;1.47;1.81;14.97;2.49;4.42;0.57;0.23;10.09;6.46;2.15;1.02;27.89;1.59
6.64;1.50;2.14;0.43;4.28;3.00;1.28;0.43;8.78;2.78;4.93;4.93;1.71;3.21;4.50;0.21;1.07;1.93;1.93;1.07;43.25
